optimizer,dataset,seed,min_sse
basin_hopping,lshade_3,9,131286.81622216
cmaes,basin_hopping_2,10,840956.77367711
basin_hopping,lshade_1,1,41265.32590189
basin_hopping,cmaes_3,7,337387.44288423
lshade,cmaes_3,7,131612.00341531
cmaes,cmaes_2,7,51386.67304437
dual_annealing,dual_annealing_1,5,47840.77162256
dual_annealing,basin_hopping_2,5,1341776.00663781
lshade,basin_hopping_3,9,104519.58155981
cmaes,lshade_1,5,192425.96485404
cmaes,basin_hopping_3,9,100451.04439894
lshade,pso_2,5,35425.30928118
dual_annealing,cmaes_3,4,99979.12691337
dual_annealing,lshade_1,8,89090.51312244
basin_hopping,cmaes_2,10,131854.35832908
cmaes,pso_2,2,941069.9855477
cmaes,dual_annealing_3,6,33851.06566516
dual_annealing,cmaes_3,3,220019.31679519
cmaes,dual_annealing_2,10,35850.5682197
lshade,lshade_1,5,53531.72676889
pso,cmaes_1,9,1449847.64211136
pso,lshade_3,7,2720867.79282133
basin_hopping,pso_3,6,51573.4436784
cmaes,cmaes_2,1,87600.34181336
basin_hopping,basin_hopping_1,7,248706.91043958
lshade,dual_annealing_3,2,48772.97858329
lshade,pso_1,1,46140.93188412
cmaes,cmaes_2,9,70902.41712101
pso,lshade_3,3,1927492.48297504
cmaes,dual_annealing_3,8,38330.23722907
cmaes,pso_3,3,47680.65896588
pso,cmaes_1,7,2819613.04324714
dual_annealing,lshade_1,3,165027.45999746
lshade,basin_hopping_2,5,77829.29981845
cmaes,lshade_2,8,46047.22531788
cmaes,basin_hopping_2,5,62551.16761375
dual_annealing,basin_hopping_2,8,78520.64819246
dual_annealing,basin_hopping_2,3,113109.78128639
dual_annealing,basin_hopping_1,9,42584.28284925
basin_hopping,basin_hopping_2,5,48782.07966158
cmaes,lshade_1,3,59943.71340041
pso,lshade_1,6,1415572.18128088
lshade,cmaes_3,10,120418.57295366
cmaes,lshade_1,10,668371.52337943
pso,dual_annealing_1,10,899966.9686095
dual_annealing,lshade_1,2,161050.99856527
cmaes,pso_2,8,66788.9120035
pso,dual_annealing_1,5,965554.01904586
dual_annealing,pso_1,6,1094408.18329119
lshade,cmaes_1,7,171193.93281821
dual_annealing,basin_hopping_3,9,2126140.78009511
basin_hopping,pso_2,4,115370.18240323
pso,lshade_1,2,896443.74368386
cmaes,dual_annealing_2,6,35527.82677451
dual_annealing,dual_annealing_3,1,134805.34420413
pso,cmaes_1,5,1180815.32150904
pso,basin_hopping_1,2,3830148.31246802
basin_hopping,cmaes_2,3,326310.42278753
pso,pso_1,10,605371.38089867
lshade,dual_annealing_3,1,57866.12470905
dual_annealing,lshade_1,1,197867.1236727
pso,pso_2,9,297296.42936299
cmaes,cmaes_3,4,46251.6276918
basin_hopping,cmaes_2,7,824055.5174219
basin_hopping,lshade_3,7,162770.22942481
pso,lshade_1,10,2196051.74303062
pso,cmaes_1,2,2424650.13414232
cmaes,pso_1,5,46773.40415051
lshade,lshade_3,2,103240.94860709
dual_annealing,cmaes_1,7,946897.99616268
basin_hopping,cmaes_2,2,134061.73454816
cmaes,cmaes_2,3,1009556.07572706
cmaes,basin_hopping_1,10,55816.19257435
dual_annealing,cmaes_1,2,188479.27671789
lshade,lshade_3,9,57680.79714227
cmaes,dual_annealing_3,4,36852.04093597
lshade,dual_annealing_2,2,59534.86321691
cmaes,lshade_2,4,44628.35144756
lshade,dual_annealing_3,5,44814.46131738
pso,cmaes_3,4,2963831.40232264
pso,pso_3,8,170671.86490715
pso,cmaes_3,2,946486.83230947
lshade,pso_3,7,49185.84415697
cmaes,pso_3,5,49067.85335934
dual_annealing,dual_annealing_2,3,65498.23956546
lshade,basin_hopping_1,9,50535.85837942
dual_annealing,lshade_2,7,775884.4555611
basin_hopping,basin_hopping_2,4,58593.95241473
cmaes,basin_hopping_1,2,38696.03784303
pso,pso_1,2,153268.24078684
dual_annealing,pso_2,4,35734.2166704
cmaes,basin_hopping_3,10,82407.14431385
lshade,basin_hopping_3,5,88822.37616256
basin_hopping,cmaes_3,10,130010.15373893
dual_annealing,lshade_2,1,255756.41633814
lshade,basin_hopping_1,3,58878.8428233
basin_hopping,pso_3,10,73734.49708994
pso,lshade_1,3,1190289.47928096
lshade,basin_hopping_1,2,67655.52197178
basin_hopping,pso_1,2,48529.05545031
lshade,lshade_1,6,41805.04330593
dual_annealing,lshade_2,3,207189.4988843
lshade,pso_1,4,48788.54039851
lshade,cmaes_1,3,109620.6457727
cmaes,cmaes_3,8,46317.66986227
cmaes,basin_hopping_3,1,62132.99988656
lshade,pso_1,8,49092.48484265
dual_annealing,pso_2,1,35579.67810428
pso,pso_1,7,702013.76799935
basin_hopping,dual_annealing_3,10,468807.51757018
cmaes,lshade_1,8,39498.26757329
dual_annealing,pso_1,4,49757.85846739
basin_hopping,lshade_1,4,193154.13482091
basin_hopping,pso_1,8,48975.56423408
lshade,basin_hopping_3,1,94514.94095971
lshade,pso_2,6,35421.0085045
cmaes,basin_hopping_1,6,39159.79768651
pso,pso_2,10,609531.5515558
dual_annealing,basin_hopping_3,8,309312.17811683
cmaes,basin_hopping_1,8,36119.46402444
basin_hopping,lshade_3,6,51958.11420245
basin_hopping,basin_hopping_3,1,73307.70972583
cmaes,cmaes_1,4,69456.38348673
pso,basin_hopping_3,3,2390321.92868035
lshade,cmaes_1,5,143626.86027134
dual_annealing,dual_annealing_1,4,153897.89921247
cmaes,dual_annealing_1,5,43812.25618559
